	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
984919940179341312	BancoInter	2018-04-13 22:23:07	Leandro Latini	"@Carlao_O @Bancointer hahahahahahahahahahaha

Cara, entrei no instagram pra aliviar a dor e olha o que apareceu: https://t.co/LwfmsqSW1P"	0	0		556	605
984918870342492160	BancoInter	2018-04-13 22:18:52	Carolinão	@brunobehnken @Bancointer Preciso da conta no bb por causa do job. Por mim nem teria aberto conta nessa bosta	0	0		710	474
984918792332595200	BancoInter	2018-04-13 22:18:33	Tobias Martins	@Bancointer Já voltou a funcionar! ?	0	1		10	131
984917846789623808	BancoInter	2018-04-13 22:14:48	Carlos Augusto	"@leandrolatini @Bancointer Leandro. O sucesso está para você assim como a Xuxa está para os baixinhos.

Se Banco Inter recusar uma conta para a sua empresa (isso só poderia ser uma piada) é sinal de que eles não merecem você, e não o contrário.

Tenho uma sugestão pra te dar, se não der certo com eles."	0	0		55	670
984916675161214976	BancoInter	2018-04-13 22:10:08	gfc5991	@Bancointer Olá! Onde consigo mais informações a respeito da conta pró?	0	0		27	166
984913329910099968	BancoInter	2018-04-13 21:56:51	Banco Inter	@MONALISADUFFRA Ei! Nossos correntistas contam com reanálise automática, então, não se preocupe, se você já tem o crédito, não precisa solicitar outra análise. Fique ligado, pois a qualquer momento você pode receber um retorno, por e-mail, com um novo limite de crédito! :)	0	1		115265	3193
984913299644051457	BancoInter	2018-04-13 21:56:44	Amanda	@Bancointer Socorro e ainda usaram Gif do Mozão https://t.co/UPvuoY8Dts	0	1		214	201
984913080164474881	BancoInter	2018-04-13 21:55:51	Banco Inter	"@igoralmeidaz Ei, Igor! Ficamos felizes que o seu cartão chegou :) Aproveite MUITO ?
Você já fez a solicitação da análise de crédito pelo app ou Internet Banking? Caso positivo, você terá o retorno por e-mail em até 7 dias!"	0	0		115265	3193
984911735051210752	BancoInter	2018-04-13 21:50:31	Banco Inter	@JuniorVersonito Poderia reinstalar o seu app e tentar novamente, Junior?	0	0		115265	3193
984911638577983489	BancoInter	2018-04-13 21:50:08	William Henryk	"@Bancointer Olá! Tudo bem? O app do banco na plataforma Android está com problemas? Ao acessar aparece a mensagem ""Houve um erro"" e não permite entrar na conta. Muito Obrigado!"	0	0		2	66
984911515995254784	BancoInter	2018-04-13 21:49:38	Leandro Latini	@Bancointer Claro. Estou precisando de uma conta jurídica e quando fui cadastrar disseram que um dos sócios tinha que ter uma conta pessoa física. Aí abri e fiz o pedido da jurídica. Só que não aprovaram minha jurídica. Acho que eles viram que não tenho potencial para o sucesso. https://t.co/W88U3dagot	0	0		556	605
984910586294276096	BancoInter	2018-04-13 21:45:57	Junio Elias	@rdigosilva @Bancointer Tampa esses dados cara kkkkkk	0	0		51	103
984910030859395074	BancoInter	2018-04-13 21:43:44	Banco Inter	@Luciano_Gomes_s @SaoPauloFC Frequentemente fazemos ações promocionais e sorteios pelo nosso Twitter do patrocínio: @SPFCBancoInter! Fique de olho para não perder nenhuma oportunidade :)	0	1		115265	3193
984909378234044416	BancoInter	2018-04-13 21:41:09	André Joberto Bombar	@Bancointer Que legal!!! Bom Saber!!	0	1		161	1092
984908947743301637	BancoInter	2018-04-13 21:39:26	Junior Versonito	@Bancointer Ainda não consigo acessar =( https://t.co/x82XVtfMl5	0	0		320	270
984908519144083459	BancoInter	2018-04-13 21:37:44	Banco Inter	@willoficial9 Ei, William! O Interpag está disponível para todos os correntistas do Banco Inter. Você pode indicar a Conta PRO para aqueles estabelecimentos que você ? para que eles recebam pagamentos via Interpag. #contacomagente e fique de ? em nossas novidades!	1	1		115265	3193
984908502698221568	BancoInter	2018-04-13 21:37:40	Coroa Massa	@Bancointer Ae! Pegou ^^	0	1		1304	734
984908039009554438	BancoInter	2018-04-13 21:35:49	Banco Inter	@JuniorVersonito Ei, Junior! Tivemos uma inconsistência que já foi resolvida pela nossa equipe. Poderia tentar acessar seu app novamente?	0	0		115265	3193
984908005606150144	BancoInter	2018-04-13 21:35:41	Mauricio Silva Jr	"@Bancointer queridos, um ano tentando abrir conta com vcs pelo app, há algumas semanas foquei nessa missão, não obtive êxito. Me ajudem. Na @nubank abri em 5 minutos. 

Recentemente assinei documentos e reconheci minha assinatura, cartório reconhece, vcs não. https://t.co/uoNsF3EKe4"	0	0		193	42
984907929584324608	BancoInter	2018-04-13 21:35:23	Banco Inter	"@boy_circus Combinado! Poderia tentar novamente?
Instabilidade já corrigida :)"	0	1		115265	3193
984907661132095488	BancoInter	2018-04-13 21:34:19	Banco Inter	@joaoparmerense Ei, João! Poderia tentar novamente? Tivemos uma instabilidade no nosso app, mas já foi corrigida :)	0	0		115265	3193
984907267312152584	BancoInter	2018-04-13 21:32:45	Banco Inter	@gersontopain Poderia nos chamar por DM? Vamos verificar com a nossa equipe sobre a sua conta.	0	0		115265	3193
984907178824884226	BancoInter	2018-04-13 21:32:24	Victor	@Bancointer o App está dando problemas de login direto. Estão cientes disso?	0	0		656	20
984907153923330048	BancoInter	2018-04-13 21:32:18	On Fleek	E veio a primeira decepção com o @bancointer ! Só posso colocar o meu cartão sincronizado a conta da Apple se eu usar a função crédito! (Tudo que eu não queria)	0	0		234	125
984906978194575362	BancoInter	2018-04-13 21:31:36	pablo viana do facebook	@Bancointer @Bancointer depositei meu dinheiro na conta quinta feira as 14 h da tarde e sempre tava acompanhando e não tinha caído ainda. Agora mesmo voltei ao app p saber se tinha caído e o app está dando erro e não abre..oq fazer?	0	0		363	627
984906131591004160	BancoInter	2018-04-13 21:28:15	Camilá	RT @Bancointer: Você acha que gato preto dá azar? Azar mesmo é pagar tarifas bancárias. Abra já a sua conta totalmente gratuita: https://t.…	48	0		203	467
984905638638772231	BancoInter	2018-04-13 21:26:17	Cicero Leandro Monteiro	@Bancointer Só esperando o IPO...	0	0		13	100
984905585559855104	BancoInter	2018-04-13 21:26:04	Junior Versonito	@Bancointer o que aconteceu que não consigo acessar minha conta?	0	0		320	270
984905548557684737	BancoInter	2018-04-13 21:25:56	Coroa Massa	@Bancointer Blz, daqui a pouco eu tento de novo. Qualquer coisa eu te grito aqui =p	0	0		1304	734
984905401190830088	BancoInter	2018-04-13 21:25:20	Banco Inter	@TobiasMartinss Ei, Tobias! Estamos com uma instabilidade em nosso app. Pode ficar tranquilo, nossa equipe já está atuando. Orientamos que tente novamente em alguns minutos :)	0	1		115265	3193
