	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
986527757105549312	banco do brasil	2018-04-18 08:52:00	Pode chamar minha mãe de sogra todo dia	Precisei comprar uns kits pra fazer minhas dosagens os quais custaram 1580,34 euros. O problema, é que quando eu peço o dinheirinho extra (chamado de reserva técnica - RT) NÃO SEI PORQUE DIABOS eles depositam na minha conta no Banco do Brasil ao invés de depositar na Alemanha.	0	0		81	111
986524833293971456	banco do brasil	2018-04-18 08:40:23	eliane miranda	RT @berocorreia: O Cruzeiro do Sul foi aquele banco da família do vice de Zé Serra, em 2010, Índio da Costa, que que deixou um rombo de R$…	11	0		670	808
986520075040710656	banco do brasil	2018-04-18 08:21:29	Anisio Luiz Nogueira Lula da Silva	RT @berocorreia: O Cruzeiro do Sul foi aquele banco da família do vice de Zé Serra, em 2010, Índio da Costa, que que deixou um rombo de R$…	11	0		14159	8278
986518945363582977	banco do brasil	2018-04-18 08:16:59	Bero Lula	O Cruzeiro do Sul foi aquele banco da família do vice de Zé Serra, em 2010, Índio da Costa, que que deixou um rombo de R$ 1,2 BILHÕES, em 2012. Se o Careca tivesse vencido, eles ainda estariam aí dando golpes na praça. O Brasil é o único país onde banqueiro quebra e continua rico https://t.co/KqBN3SQqTw	11	27		16363	13808
986512774384807936	banco do brasil	2018-04-18 07:52:28	tristona.jpg	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12265	0		317	431
986509789579669504	banco do brasil	2018-04-18 07:40:36	Vanessildes	Gostei de um vídeo @YouTube https://t.co/mVT1mvJA6d MAIOR ASSALTO A BANCO DO BRASIL !!	0	0		452	698
986499166414110723	banco do brasil	2018-04-18 06:58:24	Jacke Volpato	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12265	0		19	248
986498770903977984	banco do brasil	2018-04-18 06:56:49	ale	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12265	0		1	14
986498304199614464	banco do brasil	2018-04-18 06:54:58	lau ?	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12265	0		1027	424
986496305135521794	banco do brasil	2018-04-18 06:47:02	ana	RT @palmeriodoria: A hecatombe Vampiro Chifrudo caminha assim: 15 mil demitidos e 420 agências do Banco do Brasil fechadas em todo o país.…	224	0		573	673
986492966159208448	banco do brasil	2018-04-18 06:33:45	sarinha	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12265	0		4613	981
986490752036429825	banco do brasil	2018-04-18 06:24:58	pedro	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12265	0		5905	2982
986490707627134976	banco do brasil	2018-04-18 06:24:47	sabrina	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12265	0		2565	2430
986490402017603584	banco do brasil	2018-04-18 06:23:34	Eduardinho	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12265	0		445	419
986485274871062528	banco do brasil	2018-04-18 06:03:12	doida dos rabisco	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12265	0		22	33
