	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
984654630524280832	nubank	2018-04-13 04:48:52	Lana	Meu nubank n chega nunca ?	0	0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='3c465ed3fc434def', url='https://api.twitter.com/1.1/geo/id/3c465ed3fc434def.json', place_type='city', name='Rio Grande', full_name='Rio Grande, Brasil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-53.5332721, -33.6184729], [-52.0641132, -33.6184729], [-52.0641132, -31.7735002], [-53.5332721, -31.7735002]]]), attributes={})	1022	773
984653686470332417	nubank	2018-04-13 04:45:07	Gabriel	Meu primeiro mês e já amo a @nubank ???	0	0		95	100
984652927255089152	nubank	2018-04-13 04:42:06	alocadosignos	RT @YgorFremo: Fechou a fatura do Nubank https://t.co/4O1qT2ZTJL	33	0		208	270
984651730456637440	nubank	2018-04-13 04:37:21	Felipe Mateus	"Esta semana, uma empresa me enviou uma pesquisa de sugestões de melhorias na ""Qualidade no/do Atendimento"". Eu tirei print, mas, prefiro não postar.
Eles perguntaram: ""... qual dessas empresa é referência no melhor..."".
Queridos, referência do melhor só a @nubank... NÃO PIRA!"	0	1		322	321
984649426936455170	nubank	2018-04-13 04:28:11	Caio Eduardo	@nubank eu me importo ?? https://t.co/zyo6AQxoI4	0	0		51	78
984648618283020288	nubank	2018-04-13 04:24:59	Valenzo	RT @YgorFremo: Fechou a fatura do Nubank https://t.co/4O1qT2ZTJL	33	0		389	190
984641805869305857	nubank	2018-04-13 03:57:54	dona e proprietária	RT @YgorFremo: Fechou a fatura do Nubank https://t.co/4O1qT2ZTJL	33	0		34	117
984641355019378688	nubank	2018-04-13 03:56:07	Argonauta	@carolisccorreas Kkkkkkk, tu é digio ou nubank?	0	0		481	411
984640461745872897	nubank	2018-04-13 03:52:34	Wasted Times	RT @YgorFremo: Fechou a fatura do Nubank https://t.co/4O1qT2ZTJL	33	0		119	263
984640111823466496	nubank	2018-04-13 03:51:11	Renata Passine	RT @YgorFremo: Fechou a fatura do Nubank https://t.co/4O1qT2ZTJL	33	0		930	363
984640046216204289	nubank	2018-04-13 03:50:55	LAVS	RT @YgorFremo: Fechou a fatura do Nubank https://t.co/4O1qT2ZTJL	33	0		712	411
984639214787670017	nubank	2018-04-13 03:47:37	Bella Valladão	RT @YgorFremo: Fechou a fatura do Nubank https://t.co/4O1qT2ZTJL	33	0		503	330
984638873660805120	nubank	2018-04-13 03:46:15	xoleana porra	Quem tem nubank adora falar nubank né ENFIA O CARTÃO NO CU (sim eu queria pq é roxo)	0	1		51	68
984638865708371968	nubank	2018-04-13 03:46:13	Livia Comandulli	"Cês sabiam que o Nubank não deixa vc usar o cartão no cassino?
Eu não!"	0	0		433	249
984638783365812224	nubank	2018-04-13 03:45:54	ana ?	RT @YgorFremo: Fechou a fatura do Nubank https://t.co/4O1qT2ZTJL	33	0		477	718
984638736490168320	nubank	2018-04-13 03:45:43	pickle rick	RT @YgorFremo: Fechou a fatura do Nubank https://t.co/4O1qT2ZTJL	33	0		64	109
984638566633558016	nubank	2018-04-13 03:45:02	Elisa ??	RT @YgorFremo: Fechou a fatura do Nubank https://t.co/4O1qT2ZTJL	33	0		600	244
