	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
986758726156734465	BancoInter	2018-04-19 00:09:48	Banco Inter	@mateusinacio123 O seu VOTO vai para as filas, Mateus? Não deixe de fazer o RAIO X e escolher o seu favorito! O resultado sairá amanhã às 20 horas :)	0	0		115287	3200
986755879222603777	BancoInter	2018-04-18 23:58:29	Banco Inter	"@ednaldoolima SALVE, SALVE, Ednaldo! Temos um PAREDÃO acirrado! Você viu as defesas no CONFESSIONÁRIO? 
Esperamos que você acerte no seu voto. Nossas análises são automáticas, fique ligado, pois a qualquer momento você pode receber um retorno, pelo, BIG FONE, com um novo limite de crédito!"	0	2		115287	3200
986754544901206016	BancoInter	2018-04-18 23:53:11	Lucas Magalhães	@Bancointer como cabelo o débito automatico?	0	0		174	263
986753804170399745	BancoInter	2018-04-18 23:50:14	Fernando Santana	@Bancointer &lt;3 Amor de todas as formas ??	0	0		73	22
986753250761330696	BancoInter	2018-04-18 23:48:02	Banco Inter	@LuccaFranco_ Vale a pena continuar dando uma espiadinha para saber o resultado da eliminação, Lucca! ? https://t.co/IduLHFYOKP	0	2		115287	3200
986752960465170434	BancoInter	2018-04-18 23:46:53	Marcio.A.S	"RT @Bancointer: Hoje é dia de formação do paredão final no Big Banco Inter!
Dê uma espiadinha nos três indicados e fique ligado: o resultad…"	16	0		27	166
986752371681214465	BancoInter	2018-04-18 23:44:33	Bárbara X	@Bancointer Certo. Obrigada!	0	0		105	70
986752365083668480	BancoInter	2018-04-18 23:44:31	Rafael Mendonça Lula da Silva	Olá @Bancointer estou com problemas pra instalar o app no meu moto g 5s, diz não é compativel. Instalei via computador mas não aparece. na tela de cel. É isso mesmo?	0	0		1092	1269
986750848540737536	BancoInter	2018-04-18 23:38:29	Banco Inter	@rresouzaa Vamos te ajudar, Renan! Poderia nos chamar por DM?	0	0		115287	3200
986750174751088640	BancoInter	2018-04-18 23:35:49	Banco Inter	@twcavalli @andressazf Temos certeza que você vai se surpreender com ambas as contas, aliás, com elas você poderá dar adeus para todas as tarifas bancárias! #contacomagente ?	0	0		115287	3200
986749547161538560	BancoInter	2018-04-18 23:33:19	Banco Inter	@Allef_Alianca @luizkaiqs Agradecemos pela indicação, preferência e parceria, Allef! #contacomagente https://t.co/G462KDp3bL	0	1		115287	3200
986748443094855680	BancoInter	2018-04-18 23:28:56	Banco Inter	"@BatuqueGS Sena, poderia nos chamar por DM?
Vamos verificar sobre o seu cartão no Samsung Pay :)"	0	0		115287	3200
986748399067303936	BancoInter	2018-04-18 23:28:45	Daniel Lacerda	"RT @Bancointer: Hoje é dia de formação do paredão final no Big Banco Inter!
Dê uma espiadinha nos três indicados e fique ligado: o resultad…"	16	0		394	648
986748021294723074	BancoInter	2018-04-18 23:27:15	Mateus Silva	@Bancointer Já basta eu ter que pegar fila para jogar free Fire. kkk	0	1		14	366
986747728100315136	BancoInter	2018-04-18 23:26:05	Banco Inter	@diegofjacob Ei, Diego! Nossos correntistas contam com reanálise automática, então, não se preocupe, se você já tem o crédito, não precisa solicitar outra análise. Fique ligado, pois a qualquer momento você pode receber um retorno, por e-mail, com um novo limite de crédito! :)	0	0		115287	3200
986747624131874816	BancoInter	2018-04-18 23:25:41	Bruno Melo GALO ??	"RT @Bancointer: Hoje é dia de formação do paredão final no Big Banco Inter!
Dê uma espiadinha nos três indicados e fique ligado: o resultad…"	16	0		211	62
986747405273051136	BancoInter	2018-04-18 23:24:48	Banco Inter	@guidt Ei, Guilherme! Como documento de identificação para abertura de conta aceitamos RG, CNH e RNE. Vale lembrar que o passaporte e a carteira de trabalho não são aceitos, ok? Caso possamos te ajudar de alguma forma, nos chame por aqui :)	0	0		115287	3200
986747158652182528	BancoInter	2018-04-18 23:23:50	Ednaldo Lima	"@Bancointer Os 3 já foram eliminados pelo Inter ?
Alguns estão tentado copiar mas não conseguem rsrsrs
Estou um pouco triste porque estou precisando de mais limites... Mas mesmo assim o banco ? Inter e o melhor ?"	0	3		16	112
986746797652692994	BancoInter	2018-04-18 23:22:24	Banco Inter	"@perfilrafael Ei, Rafael! Ao abrir a sua Conta Digital, você recebe o nosso cartão laranja :)
Tem direito aos cartões Platinum e Black os investidores do Banco Inter, de acordo com o valor aplicado: R$ 50 mil para o Platinum e R$ 250 mil para o Black."	0	0		115287	3200
986746616316129280	BancoInter	2018-04-18 23:21:40	jason Gonçalves ???	"RT @Bancointer: Hoje é dia de formação do paredão final no Big Banco Inter!
Dê uma espiadinha nos três indicados e fique ligado: o resultad…"	16	0		240	509
986745911417229313	BancoInter	2018-04-18 23:18:52	Banco Inter	"@Vanessa07901574 Ei, Vanessa! Para qual número você está ligando?
Orientamos que ligue para 3003-4070, opção 1, tá bem?"	0	0		115287	3200
986745465675894784	BancoInter	2018-04-18 23:17:06	Banco Inter	"@paidegabriel Ei, André! Atualmente, não possuímos um app para a Conta PRO, só é possível acessá-la pelo Internet Banking.
Mas pode ficar tranquilo! Já está em nosso planejamento um app para esse tipo de conta. Aguarde novidades :)"	0	1		115287	3200
986744907787374592	BancoInter	2018-04-18 23:14:53	oabenet	"RT @Bancointer: Hoje é dia de formação do paredão final no Big Banco Inter!
Dê uma espiadinha nos três indicados e fique ligado: o resultad…"	16	0		2122	2157
986742995989991426	BancoInter	2018-04-18 23:07:17	Jovane Leonardo	RT @Bancointer: O Banco Inter é o 1º banco 100% digital do Brasil e o único a oferecer uma conta totalmente gratuita. Assim estamos fazendo…	54	0		126	467
986742591956967426	BancoInter	2018-04-18 23:05:41	Marcio Neves	@Bancointer já fiz isso	0	0		406	428
986742521832275970	BancoInter	2018-04-18 23:05:24	Banco Inter	"@MarcioHuser Marcio, vamos te ajudar com o envio dos seus documentos e dos seus dados, tá bem? Liberamos a DM para você :) 
Poderia nos chamar por lá?"	0	0		115287	3200
986742406161817600	BancoInter	2018-04-18 23:04:57	Lucca	"RT @Bancointer: Hoje é dia de formação do paredão final no Big Banco Inter!
Dê uma espiadinha nos três indicados e fique ligado: o resultad…"	16	0		117	510
986742395055300609	BancoInter	2018-04-18 23:04:54	Lucca	@Bancointer Vish, quero que os três indicados sejam eliminados ? https://t.co/B8aIqpWotr	0	2		117	510
986742145192284163	BancoInter	2018-04-18 23:03:54	Banco Inter	@josecxsta Ei, Zé! Para que possamos verificar com a nossa equipe sobre sua aplicação, poderia nos chamar por DM?	0	0		115287	3200
986741986228080641	BancoInter	2018-04-18 23:03:16	Bruno	Pode ser os 3? ??? https://t.co/NNSofvmasj	0	0		817	502
986741763065905152	BancoInter	2018-04-18 23:02:23	Bruno Soares ??	"RT @Bancointer: Hoje é dia de formação do paredão final no Big Banco Inter!
Dê uma espiadinha nos três indicados e fique ligado: o resultad…"	16	0		520	1177
