	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
986329300856172544	banco do brasil	2018-04-17 19:43:25	PEDRO	vamo rouba o banco central do brasil e gastar o dinheiro tudo em camisa do gremio, quem vem https://t.co/WJhy4LADjp	0	0		574	195
986328277542408192	banco do brasil	2018-04-17 19:39:21	MauricioJr	RT @sidneyrezende: O lucro do Itaú ficou perto de R$ 25 bilhões em 2017. Tem gente dentro do banco que aposta que 2018 será  ainda mais “es…	208	0		51	218
986328266641412096	banco do brasil	2018-04-17 19:39:18	José Antônio Moro	RT @o_antagonista: Gustavo Franco, ex-presidente do Banco Central, disse à Bloomberg que uma eventual vitória de Bolsonaro seria péssima pa…	65	0		576	265
986327723277733888	banco do brasil	2018-04-17 19:37:08	Ana Rita	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12195	0		414	280
986327628121505793	banco do brasil	2018-04-17 19:36:46	Rafaela ?	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12195	0		214	96
986327212247920640	banco do brasil	2018-04-17 19:35:07	bia?	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12195	0		1182	657
986327066881744896	banco do brasil	2018-04-17 19:34:32	Nah ?	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12195	0		1056	714
986326714157543424	banco do brasil	2018-04-17 19:33:08	Rapha	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12195	0		3038	497
986326134051753984	banco do brasil	2018-04-17 19:30:50	Nestor	Se a cada peido que eu desse eu ganhasse 1 real meu cu viraria um banco do brasil	0	2		169	174
986325748553306114	banco do brasil	2018-04-17 19:29:18	João Guilherme	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12195	0		122	156
986324391297470464	banco do brasil	2018-04-17 19:23:54	Sara	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12195	0		14	142
986323862446071809	banco do brasil	2018-04-17 19:21:48	??	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12195	0		3175	275
986323766832779265	banco do brasil	2018-04-17 19:21:25	mayara	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12195	0		4364	3433
986323504269324289	banco do brasil	2018-04-17 19:20:23	math ? || sdv	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12195	0		3342	3251
986323307799695360	banco do brasil	2018-04-17 19:19:36	Larissa	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12195	0		8195	6947
986322931977515010	banco do brasil	2018-04-17 19:18:06	mari	o banco do brasil aumentou meu limite???? é isso mesmo??????? estou diante de um sonho ou de um erro técnico do app???!	0	2		154	169
986322772598185985	banco do brasil	2018-04-17 19:17:28	Samuel Oliveira	RT @o_antagonista: Gustavo Franco, ex-presidente do Banco Central, disse à Bloomberg que uma eventual vitória de Bolsonaro seria péssima pa…	65	0		334	236
986322471677767685	banco do brasil	2018-04-17 19:16:16	Reinaldo Cruz	Maioria da 1ª Turma acolhe denúncia e Aécio vira réu no STF https://t.co/uxZ482HBoR A maioria dos ministros da primeira turma do Supremo Tribunal Federal (STF) decidiu, nesta terça-feira, por colocar o senador Aécio Neves (PSDB-MG) no banco dos réus.	0	0		16380	13964
986321659782189056	banco do brasil	2018-04-17 19:13:03	Cléo	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12195	0		246	418
986320475914686465	banco do brasil	2018-04-17 19:08:21	Curso Prime	Adicionei um vídeo a uma playlist @YouTube https://t.co/FOY3rgXPn1álise do Edital Banco do Brasil com Sirlo Oliveira	0	0		5833	2240
986320083512451072	banco do brasil	2018-04-17 19:06:47	Brian M. Willott	RT @_BlogBahia: Barreiras: Espanhol é acusado de tentar arrombar o Banco do Brasil https://t.co/Iquaby1Nkc https://t.co/G4SA1gVUqg	1	0		58	897
986319707841196038	banco do brasil	2018-04-17 19:05:17	Leandro Cordeiro	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12195	0		94	216
986319275043446784	banco do brasil	2018-04-17 19:03:34	Ótica Occhio Bello	"Aquela coleção apaixonante ??
Você encontra isso e muito mais na  OCCHIO BELLO, a ótica referência no Buritis.

Av. Professor Mário Werneck 1776 (Em frente ao Banco do Brasil). Tel: 3377-1870"	0	0		104	3
986318978967658496	banco do brasil	2018-04-17 19:02:24	Marcelo Francisco	RT @Ary_AntiPT: Lembrando que a Joesley aparece emprestando R$ 3 milhões para o Operador de Dida Bendine do Banco do Brasil e o @MPF_PGR co…	25	0		6242	5499
986318973657583616	banco do brasil	2018-04-17 19:02:22	gleici quebrou o fuso horário	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12195	0		8926	593
986318950387548160	banco do brasil	2018-04-17 19:02:17	Hoje na Escola?	"RT @Unifeob: Participe do Pré Agrishow! Uma parceria entre a UNIFEOB e o BANCO DO BRASIL.
O evento será amanhã na Fazenda-Escola, das 13 ho…"	1	0		25427	698
986318444651048960	banco do brasil	2018-04-17 19:00:16	UNIFEOB	"Participe do Pré Agrishow! Uma parceria entre a UNIFEOB e o BANCO DO BRASIL.
O evento será amanhã na Fazenda-Escola, das 13 horas às 22 horas.
Entrada franca!
A feira trará palestras técnicas, stands de empresas do agronegócio, produtores rurais, professores, estudantes de toda a https://t.co/t99ElIFXsc"	1	0		529	632
986318404415098880	banco do brasil	2018-04-17 19:00:07	cláudia ?	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12195	0		756	238
