	Unnamed: 0	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos	tag	citados	n_citados
45272	984144150198128640	nubank	2018-04-11 19:00:24	Nate, the Great	@ialemagalhaes @itau @nubank Galera tentando pagar com as máquinas da @UseRede e tá um placar tipo Funciona 2 x 11 não funciona. Tá lindo.	0.0	0.0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='d9d978b087a92583', url='https://api.twitter.com/1.1/geo/id/d9d978b087a92583.json', place_type='city', name='Belo Horizonte', full_name='Belo Horizonte, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-44.062789, -20.059816], [-43.856856, -20.059816], [-43.856856, -19.777568], [-44.062789, -19.777568]]]), attributes={})	490.0	1271.0	nubank	ialemagalhaes itau nubank userede	4
45276	984143199320072192	nubank	2018-04-11 18:56:37	Alexandre	@Nathan_Maximoff @itau Só falta o @nubank virar um banco de verdade que tô correndo do tal de Itaú. A treta no Apple Pay, qual é?	0.0	1.0		205.0	629.0	nubank	nathan_maximoff itau nubank	3
45464	984083201370021888	nubank	2018-04-11 14:58:13	Tiago Melgaço	E o NUBANK quando paga o cartão pela conta corrente, o limite libera na hora. O @itau podia ser assim também! Seria perfeito.	0.0	0.0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='5722ff20ba67083b', url='https://api.twitter.com/1.1/geo/id/5722ff20ba67083b.json', place_type='city', name='Brasília', full_name='Brasília, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-48.285982, -16.0524045], [-47.307264, -16.0524045], [-47.307264, -15.5001029], [-48.285982, -15.5001029]]]), attributes={})	1627.0	1293.0	nubank	itau	1
45635	984020219386580992	nubank	2018-04-11 10:47:57	Léo Amorim	Quando o cartão do @nubank for também de débito eu vou ter a alegria de cancelar minha conta corrente no @itau vai ser lindo um coro cantando we are the world ao fundo	0.0	1.0		796.0	473.0	nubank	nubank itau	2
45694	983897234638016512	nubank	2018-04-11 02:39:15	??? ??????? - SomethingSomeoneJr.	@ticosardinha @nubank @itau só preju que esses comédias dão	0.0	0.0		274.0	159.0	nubank	ticosardinha nubank itau	3
45738	983881124916187137	nubank	2018-04-11 01:35:14	???? YungKurono ????	@nubank @lghugo o @itau não me manda nenhum GIF, só juros no LIS e suja meu nome	0.0	0.0		246.0	171.0	nubank	nubank lghugo itau	3
45798	983849511138283520	nubank	2018-04-10 23:29:37	Arthur Boulevard	@itau acabei de receber meu itaucard, mas a anuidade tá muito caro cancela a anuidade do meu itaucard. Tenho amigos q tem itaucard e não pagam anuidade. outros cartões como a nubank não cobram mais anuidade . Me ajuda ai ! Quero usar Itaucard novo mas ainda não desbloqueei .	0.0	0.0		47.0	180.0	nubank	itau	1
45811	983839497040297985	nubank	2018-04-10 22:49:49	Pitadas de psicopatia	Já me falaram que são apps excludentes e que preciso ter apenas um no iPhone. Sério isso? Um ou outro? @itau @nubank	0.0	0.0		349.0	301.0	nubank	itau nubank	2
45812	983839165904248832	nubank	2018-04-10 22:48:30	Pitadas de psicopatia	Oi @itau e @nubank eu sou cliente de vcs e tenho app de ambos no meu iPhone. Diversas vezes que tento acessar o Itaú pela digital e aparece um aviso de erro em ROXO E BRANCO. Parece que há interferência entre entre os apps. Acontece o mesmo com um amigo. Me ajudem??	0.0	0.0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='68e019afec7d0ba5', url='https://api.twitter.com/1.1/geo/id/68e019afec7d0ba5.json', place_type='city', name='Sao Paulo', full_name='Sao Paulo, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-46.826039, -24.008814], [-46.365052, -24.008814], [-46.365052, -23.356792], [-46.826039, -23.356792]]]), attributes={})	349.0	301.0	nubank	itau nubank	2
46279	983684250607214592	nubank	2018-04-10 12:32:55	simone e simaria	oi @itau que tal ter umas aulinhas com o @nubank? ces tão precisando	0.0	0.0		822.0	97.0	nubank	itau nubank	2
46357	983541058989625344	nubank	2018-04-10 03:03:56	Luiz C. Eudes Corrêa	@joaopauloalvees @mneubert @nubank @itau @UseRede Sim, uns R$ 500 de anuidade ?	0.0	0.0		787.0	2204.0	nubank	joaopauloalvees mneubert nubank itau userede	5
46471	983486160050802688	nubank	2018-04-09 23:25:47	Jão	@EudesRJ @mneubert @nubank @itau @UseRede Mas esse Exclusive Platinum tem anuidade né?	0.0	0.0		30.0	96.0	nubank	eudesrj mneubert nubank itau userede	5
