	Unnamed: 0	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos	tag	citados	n_citados
26531	986696804656996353	itau	2018-04-18 20:03:44	Rodrigo Emanuel	@itau Não, não é caso de receber. É de antecipar!	0.0	0.0		384.0	404.0	itau	itau	1
26535	986695898917896192	itau	2018-04-18 20:00:08	Wash	Aff que não tem como eu fazer as coisas do Itaú nesse celular porque o iToken está instalado no outro ?	0.0	0.0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='2a3f152d1ac5044a', url='https://api.twitter.com/1.1/geo/id/2a3f152d1ac5044a.json', place_type='city', name='Hackney', full_name='Hackney, London', country_code='GB', country='United Kingdom', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-0.104501, 51.518605], [-0.015834, 51.518605], [-0.015834, 51.5766844], [-0.104501, 51.5766844]]]), attributes={})	336.0	102.0	itau		0
26536	986695819633012741	itau	2018-04-18 19:59:49	Cxrxl	coisa mais adulta que eu tenho é o app do Itaú kkkkkk	0.0	0.0		220.0	47.0	itau		0
26537	986695401335029772	itau	2018-04-18 19:58:10	Paulin	Fui no itau pra desbloquear meu cartão, cheguei na porta do banco 16:00 e ponto que ódio cara, mas uma vez n consegui desbloquear essa merda to bem puto	0.0	0.0		1291.0	1421.0	itau		0
26539	986694447290310658	itau	2018-04-18 19:54:22	Rodrigo Emanuel	"@itau alguns dias atrás, apareceu uma opção de restituição de imposto de renda disponível em conta … agora não está mais, quando eu fiquei interessado em fazê-lo.

O que aconteceu?"	0.0	0.0		384.0	404.0	itau	itau	1
26540	986694380772872193	itau	2018-04-18 19:54:06	Lucão	Change The World mas não do Eric Clapton, sim do comercial do Itaú	0.0	0.0		314.0	542.0	itau		0
26543	986694200115761153	itau	2018-04-18 19:53:23	Vagas Empregos PR	Vagas p/ AGENTE COMERCIAL - Itaú Unibanco - Paranaguá/PR - https://t.co/I3m9jBevi7	0.0	0.0		9331.0	40.0	itau		0
26546	986693550007115776	itau	2018-04-18 19:50:48	Rodrigo Silveira	@japadod @marcogomes Só pelo fato dele ter trabalho no Itau e ter tido um histórico de sucesso o cara já recebe uma “etiqueta” negativa? Qual o racional por trás disso? Pré requisito para ser aceito como um bom candidato é não ter tido sucesso profissional? Veja a linha dos já eleitos pelo Novo!	0.0	1.0		103.0	473.0	itau	japadod marcogomes	2
26547	986693381505081344	itau	2018-04-18 19:50:08	Eduardo Oliveira	@itau o serviço de qualidade é por parte da @SamsungBrasil e da @googlebrasil, o Itaú só tem que estar cadastrado e permitir que o serviço funcione, sei muito bem que não precisa de mais de 1 ano pra conseguir essa qualidade	0.0	0.0		27.0	179.0	itau	itau samsungbrasil googlebrasil	3
26548	986693252119187456	itau	2018-04-18 19:49:37	Daniel Berni	@itau eu desisto de usar o #ApplePay, só funciona mesmo no @paodeacucar. Daqui a alguns meses eu tento de novo, nenhum lugar funciona	0.0	0.0		30.0	183.0	itau	itau paodeacucar	2
26549	986692777407864832	itau	2018-04-18 19:47:44	Calorina	@itau Saldo devedor	0.0	0.0		394.0	220.0	itau	itau	1
26552	986692400784519168	itau	2018-04-18 19:46:14	jesca	@itau @isacr_s KKKKKKKKKKKKKKKKK amiga aceita a ajuda deles	1.0	1.0		405.0	285.0	itau	itau isacr_s	2
26554	986692091182010369	itau	2018-04-18 19:45:01	Na	I'm at Itaú - Sabáudia https://t.co/9CcyN4ynJs	0.0	0.0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='083f80ce8063b9e5', url='https://api.twitter.com/1.1/geo/id/083f80ce8063b9e5.json', place_type='city', name='Sabáudia', full_name='Sabáudia, Brasil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-51.690621, -23.4343791], [-51.50099, -23.4343791], [-51.50099, -23.263743], [-51.690621, -23.263743]]]), attributes={})	368.0	150.0	itau		0
26555	986691973661822976	itau	2018-04-18 19:44:33	Gabi Porfírio	To horrorizada porém não é no itaú isso bjs https://t.co/8n9k7tZmKy	0.0	0.0		280.0	222.0	itau		0
