	Unnamed: 0	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos	tag	citados	n_citados
28178	986410479705784322	itau	2018-04-18 01:05:59	Paulo Rogerio	Sharks ? Brasil ??.!! em CA Itaú Unibanco ITM https://t.co/yVg9LdeGxD	0.0	0.0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='68e019afec7d0ba5', url='https://api.twitter.com/1.1/geo/id/68e019afec7d0ba5.json', place_type='city', name='Sao Paulo', full_name='Sao Paulo, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-46.826039, -24.008814], [-46.365052, -24.008814], [-46.365052, -23.356792], [-46.826039, -23.356792]]]), attributes={})	145.0	835.0	itau		0
28179	986410324420190208	itau	2018-04-18 01:05:22	Fernando	RT @denisebuenoseg: Itaú faz concorrência e fecha com três seguradoras para venda de dental, prestamista e vida - Sonho Seguro https://t.co…	1.0	0.0		316.0	1383.0	itau	denisebuenoseg	1
28188	986409454169214976	itau	2018-04-18 01:01:55	Denise Bueno	Itaú faz concorrência e fecha com três seguradoras para venda de dental, prestamista e vida - Sonho Seguro https://t.co/kXulWMl831	1.0	2.0		2852.0	198.0	itau		0
28194	986408977150996481	itau	2018-04-18 01:00:01	?F	alo @itau @Bradesco @BancodoBrasil, quero abrir uma conta poupança e pegar um cartao de credito tem como?	0.0	0.0		432.0	75.0	itau	itau bradesco bancodobrasil	3
28196	986408706324738049	itau	2018-04-18 00:58:56	Paulo Rogerio	Gravação do shark tank brasil 2018 .! em CA Itaú Unibanco ITM https://t.co/rddVjxUEKA	0.0	0.0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='68e019afec7d0ba5', url='https://api.twitter.com/1.1/geo/id/68e019afec7d0ba5.json', place_type='city', name='Sao Paulo', full_name='Sao Paulo, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-46.826039, -24.008814], [-46.365052, -24.008814], [-46.365052, -23.356792], [-46.826039, -23.356792]]]), attributes={})	145.0	835.0	itau		0
28198	986408601534246913	itau	2018-04-18 00:58:31	Marcos de folga pode  !!	RT @emmibundanao: BB, Itaú, Bradesco e Caixa concentram 78,51% do crédito no Brasil, diz BC - ISTOÉ Independente https://t.co/Vc3wSZROH9	1.0	0.0		4191.0	4633.0	itau	emmibundanao	1
28200	986408109395636224	itau	2018-04-18 00:56:34	VAGAS.com.br	Vagas p/ AGENTE COMERCIAL - PCD - Itaú Unibanco - Curitiba/PR - https://t.co/Z3oFK4uevD	0.0	1.0		18839.0	40.0	itau		0
28201	986407750191198210	itau	2018-04-18 00:55:08	Silvio Santos	"Lula, o xilindró de Curitiba deve ter o patrocínio do Itaú 

Feito pra você!"	0.0	5.0		6929.0	777.0	itau		0
28202	986407495995461632	itau	2018-04-18 00:54:08	Guilherme Siqueira	Só acho que o @itau me deve uma grana e um iPhone ? https://t.co/Ij1VIZ7Pdz	0.0	0.0		16.0	62.0	itau	itau	1
28204	986407353384947712	itau	2018-04-18 00:53:34	Carioca TFC	EU NAO AGUENTO MAIS ESSA PROPAGANDA https://t.co/XaAT8NW6Vy	0.0	0.0		697.0	633.0	itau		0
28206	986407165584953344	itau	2018-04-18 00:52:49	Flavio Faccion	"@itau Boa noite! 
Alguma novidade sobre o Samsung Pay?"	0.0	0.0		24.0	1.0	itau	itau	1
28207	986407130315010049	itau	2018-04-18 00:52:41	Paulo Henrique Meyer	@itau Agradeço, mas não...	0.0	0.0		161.0	356.0	itau	itau	1
28213	986406535470383114	itau	2018-04-18 00:50:19	.. e eu só comento	BB, Itaú, Bradesco e Caixa concentram 78,51% do crédito no Brasil, diz BC - ISTOÉ Independente https://t.co/Vc3wSZROH9	1.0	0.0		234.0	163.0	itau		0
28216	986406216615198720	itau	2018-04-18 00:49:03	Francisco Lula d´Avila	#LulaLivre e onde está a verdade no salvamento do ITAÚ, BRADESCO, GERDAU, DEPUTADOS e todos os SONEGADORES SALVO PELO GOLPISTA. https://t.co/KJgAjiu4ny	0.0	0.0		40.0	59.0	itau		0
28218	986405451834253312	itau	2018-04-18 00:46:00	Letícia	qual vc prefere Itaú ou bradesco? — Itaú https://t.co/rdlSDMvHsL	0.0	0.0		967.0	812.0	itau		0
28219	986405307613155328	itau	2018-04-18 00:45:26	mario -LULA DA SILVA	Recordar é viver: apoio de Marina Silva a Aécio Neves em 2014 https://t.co/9ORZAU5usZ é a ética da marinatura,globo,itau/moro.	0.0	0.0		4869.0	4011.0	itau		0
28221	986405100787650560	itau	2018-04-18 00:44:37	Victor Aziago	? em Espaço Itaú de Cinema https://t.co/TQQzAx1ed8	0.0	0.0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='68e019afec7d0ba5', url='https://api.twitter.com/1.1/geo/id/68e019afec7d0ba5.json', place_type='city', name='Sao Paulo', full_name='Sao Paulo, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-46.826039, -24.008814], [-46.365052, -24.008814], [-46.365052, -23.356792], [-46.826039, -23.356792]]]), attributes={})	50.0	238.0	itau		0
28222	986405007363854336	itau	2018-04-18 00:44:14	cobra cega de bengalas	De repente falta energia na agência do Itaú de Manaus. Quando os eletricistas vão até à central de energia, descobrem a causa do apagão. ? https://t.co/vSbZwyQmdD	46.0	75.0		754.0	1891.0	itau		0
28223	986404938162102273	itau	2018-04-18 00:43:58	Flavio Faccion	"@itau Apple pay funcionado né? E quanto ao Samsung pay? Sou cliente há anos! E até agora nada :(
Estou usando um cartão de crédito de outro banco para poder utilizar o pagamento por aproximação.
Itaú digital???? Sei não hein...."	1.0	0.0		24.0	1.0	itau	itau	1
28225	986403871877746688	itau	2018-04-18 00:39:44	Leo	@itau vocês são uns lixos para cancelar serviços, como pode?	0.0	0.0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='5aaf2499d3a86bb2', url='https://api.twitter.com/1.1/geo/id/5aaf2499d3a86bb2.json', place_type='city', name='Cotia', full_name='Cotia, Brasil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-47.084701, -23.804034], [-46.809198, -23.804034], [-46.809198, -23.563827], [-47.084701, -23.563827]]]), attributes={})	3529.0	483.0	itau	itau	1
28226	986403837689978881	itau	2018-04-18 00:39:36	Reginaldo Rodrigues	@itau não consigo cadastrar meu itaucard no Apple Pay, como resolvo isso? Pede pra eu entrar em contato com a operadora do cartão! Ajude aí por favor!	0.0	0.0		77.0	142.0	itau	itau	1
28229	986402989605875713	itau	2018-04-18 00:36:13	Júlia Rei$	@Lais45480952 igual Itaú, feito pra vc	0.0	0.0		223.0	276.0	itau	lais45480952	1
28231	986402817769426945	itau	2018-04-18 00:35:32	Fabricio	Android é o celular mais usado no mundo. Mas o Itaú lança o Apple pay. https://t.co/L97AVw7vy2	1.0	0.0		61.0	253.0	itau		0
28236	986402182995087360	itau	2018-04-18 00:33:01	Jean	@vittor_1903 @itau Não quis trocar um 5	0.0	0.0		365.0	419.0	itau	vittor_1903 itau	2
28237	986402136694181888	itau	2018-04-18 00:32:50	Fiel Itaú de Minas	essas pessoas acabaram de visualizar seu perfil https://t.co/v8xBG4e2vQ	0.0	0.0		210.0	402.0	itau		0
28238	986402004829458432	itau	2018-04-18 00:32:19	Gulima	@folha_poder Do lado do Itaú..	0.0	0.0		12.0	118.0	itau	folha_poder	1
28239	986401999909478400	itau	2018-04-18 00:32:17	?	@alessandrojbr @Bancointer E o inverso? Itau para Inter?	0.0	0.0		103629.0	65.0	itau	alessandrojbr bancointer	2
28241	986401622535401473	itau	2018-04-18 00:30:47	Mayra Ribeiro	1 ano de itau hoje e ele marca tantas lembranças. AAAAAA quanta mudança nesse ano que passou	0.0	0.0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='68e019afec7d0ba5', url='https://api.twitter.com/1.1/geo/id/68e019afec7d0ba5.json', place_type='city', name='Sao Paulo', full_name='Sao Paulo, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-46.826039, -24.008814], [-46.365052, -24.008814], [-46.365052, -23.356792], [-46.826039, -23.356792]]]), attributes={})	98.0	222.0	itau		0
28249	986400365670289408	itau	2018-04-18 00:25:48	Vitor	@JeannAlexx @itau Vamo pegar p exemplo	0.0	1.0		295.0	214.0	itau	jeannalexx itau	2
28250	986400251295817728	itau	2018-04-18 00:25:20	LORD FANNY ?™	@juju_lyana Até o fim das minhas férias que é em maio eu vou transferir essa poupança para o Itau, banco onde tenho minha conta corrente e raramente me dá problemas. Além de ser MODERNO.	0.0	1.0		684.0	251.0	itau	juju_lyana	1
28254	986399459935387649	itau	2018-04-18 00:22:12	Alessandro Ribeiro	@GordoGeek @Bancointer GG, fiz duas teds pro Itaú na semana passada e não demorou nem 2 minutos.	0.0	0.0		93.0	522.0	itau	gordogeek bancointer	2
28256	986399236974620672	itau	2018-04-18 00:21:19	Sanderlust	@kriox @itau Não faço ideia ??	0.0	1.0		545.0	800.0	itau	kriox itau	2
28258	986399115834810368	itau	2018-04-18 00:20:50	Marcelo al-Khwarizmi	"@Sanderlust @itau Tadinha da jibóia...

Ou é sucuri?"	0.0	0.0		259.0	519.0	itau	sanderlust itau	2
28259	986399001934221312	itau	2018-04-18 00:20:23	Felipe	ruim mesmo é que eu quebrei meu cartão e não dá para sacar dinheiro no 24 h, só no itaú pela biometria	0.0	0.0		3373.0	3798.0	itau		0
28261	986398778654588929	itau	2018-04-18 00:19:29	José B. - Tranceman	"Oi @itau, caguei pra Apple Pay.
Cade minha autenticação por digital no app?
Só lembrando que o @Bradesco já tem faz mais de ano..."	0.0	0.0		293.0	395.0	itau	itau, bradesco	2
28262	986398724623667200	itau	2018-04-18 00:19:17	Mephisto Santos?	RT @omagnificu: nao tem preço ;) itau o banco do seu cu	1.0	0.0		4731.0	4234.0	itau	omagnificu	1
